title,author,paperlink,codelink,nickname,conference,type,subtype,time,ID
Scaling instruction-finetuned language models,Chung et al,https://arxiv.org/abs/2210.11416,,,Arxiv,PTA,sft,2022,chung2022scaling
Super-naturalinstructions: Generalization via declarative instructions on 1600+ nlp tasks,Wang et al,https://aclanthology.org/2022.emnlp-main.340,,,ACL,PTA,sft,2022,wang2022super
Crosslingual generalization through multitask finetuning,Muennighoff et al,https://arxiv.org/abs/2211.01786,,,Arxiv,PTA,sft,2022,muennighoff2022crosslingual
Polylm: An open source polyglot large language model,Wei et al,https://arxiv.org/abs/2307.06018,https://modelscope.cn/models/damo/nlp_polylm_13b_text_generation/,,Arxiv,PTA,sft,2023,wei2023polylm
Mono- and multilingual GPT-3 models for Hungarian,Yang et al,https://link.springer.com/chapter/10.1007/978-3-031-40498-6_9,,,LNAI,PTA,sft,2023,yang2023mono
Efficient and effective text encoding for chinese llama and alpaca,Cui et al,https://arxiv.org/abs/2304.08177,,,Arxiv,PTA,sft,2023,cui2023efficient
YuLan-Chat: An Open-Source Bilingual Chatbot,YuLan-Teaml,,https://github.com/RUC-GSAI/YuLan-Chat,,,PTA,sft,2023,YuLan-Chat
Monolingual or Multilingual Instruction Tuning: Which Makes a Better Alpaca,Chen et al,https://arxiv.org/abs/2309.08958,https://github.com/hplt-project/monolingual-multilingual-instruction-tuning,,Arxiv,PTA,sft,2023,chen2023monolingual
BayLing: Bridging Cross-lingual Alignment and Instruction Following through Interactive Translation for Large Language Models,Zhang et al,https://arxiv.org/abs/2306.10968,https://github.com/ictnlp/BayLing,,Arxiv,PTA,sft,2023,zhang2023bayling
Phoenix: Democratizing chatgpt across languages,Chen et al,https://arxiv.org/abs/2304.10453,https://github.com/FreedomIntelligence/LLMZoo,,Arxiv,PTA,sft,2023,chen2023phoenix
Improving Translation Faithfulness of Large Language Models via Augmenting Instructions,Chen et al,https://arxiv.org/abs/2308.12674,https://github.com/pppa2019/swie_overmiss_llm4mt,,Arxiv,PTA,sft,2023,chen2023improving
Empowering Multi-step Reasoning across Languages via Tree-of-Thoughts,Ranaldi et al,https://arxiv.org/abs/2311.08097,,,Arxiv,PTA,sft,2023,ranaldi2023empowering
EcomGPT: Instruction-tuning Large Language Model with Chain-of-Task Tasks for E-commerce,Li et al,https://arxiv.org/abs/2308.06966,https://github.com/Alibaba-NLP/EcomGPT,,Arxiv,PTA,sft,2023,li2023ecomgpt
Improving Translation Faithfulness of Large Language Models via Augmenting Instructions,Chen et al,https://arxiv.org/abs/2308.12674,https://github.com/pppa2019/swie_overmiss_llm4mt,,Arxiv,PTA,sft,2023,chen2023improving
Camoscio: An italian instruction-tuned llama,Santilli et al,https://arxiv.org/abs/2307.16456,,,Arxiv,PTA,sft,2023,santilli2023camoscio
Conversations in Galician: a Large Language Model for an Underrepresented Language,Bao et al,https://arxiv.org/abs/2311.03812,https://gitlab.irlab.org/irlab/cabuxa,,Arxiv,PTA,sft,2023,bao2023conversations
Building a Llama2-finetuned LLM for Odia Language Utilizing Domain Knowledge Instruction Set,Kohli et al,https://arxiv.org/abs/2312.12624,,,Arxiv,PTA,sft,2023,kohli2023building
Making Instruction Finetuning Accessible to Non-English Languages: A Case Study on Swedish Models,Holmstr?m et al,https://aclanthology.org/2023.nodalida-1.62,https://github.com/oskarholmstrom/sweinstruct,,NoDaLiDa,PTA,sft,2023,holmstrom2023making
Extrapolating Large Language Models to Non-English by Aligning Languages,Zhu et al,https://arxiv.org/abs/2308.04948,https://github.com/NJUNLP/x-LLM,,Arxiv,PTA,sft,2023,zhu2023extrapolating
Instruct-Align: Teaching Novel Languages with to LLMs through Alignment-based Cross-Lingual Instruction,Cahyawijaya et al,https://arxiv.org/abs/2305.13627,https://github.com/HLTCHKUST/InstructAlign,,Arxiv,PTA,sft,2023,cahyawijaya2023instruct
Eliciting the Translation Ability of Large Language Models via Multilingual Finetuning with Translation Instructions,Li et al,https://arxiv.org/abs/2305.15083,,,Arxiv,PTA,sft,2023,li2023eliciting
Palm 2 technical report,Anil et al,https://arxiv.org/abs/2305.10403,,,Arxiv,PTA,sft,2023,anil2023palm
